UR	SR
s.ɛ1.t.ʌ0.l	s.ɛ1.ɾ.ʌ0.l
b.æ1.t.ɚ0	b.æ1.ɾ.0
k.w.ɑ1.l.ʌ0.t.eɪ2.t.ɪ0.v	k.w.ɑ1.l.ʌ0.t.eɪ2.ɾ.ɪ0.v
d.ɛ1.k.ɚ0.eɪ2.t.ɪ0.ŋ	d.ɛ1.k.ɚ0.eɪ2.ɾ.ɪ0.ŋ
ɹ.aʊ1.t.i0.oʊ0	ɹ.aʊ1.ɾ.i0.0
v.æ1.n.ɛ1.t.ʌ0.n	v.æ1.n.ɛ1.ɾ.ʌ0.n
h.u1.t.i0	h.u1.ɾ.0
m.ɛ2.t.ʌ0.m.ɔ1.ɹ.f.ʌ0.s.ʌ0.s	m.ɛ2.ɾ.ʌ0.m.ɔ1.ɹ.f.ʌ0.s.ʌ0.s
p.æ1.t.ɪ0.ŋ	p.æ1.ɾ.ɪ0.ŋ
ɔ1.ɹ.k.ɪ0.s.t.ɹ.eɪ2.t.ɪ0.ŋ	ɔ.ɹ.k.ɪ0.s.t.ɹ.eɪ2.ɾ.ɪ0.ŋ
k.ɪ2.ɹ.ɪ1.b.ɑ1.t.i0	k.ɪ2.ɹ.ɪ1.b.ɑ1.ɾ.0
d.ɪ0.s.oʊ1.t.oʊ0	d.ɪ0.s.oʊ1.ɾ.0
p.ɚ1.f.ɚ0.eɪ2.t.ʌ0.d	p.ɚ1.f.ɚ0.eɪ2.ɾ.ʌ0.d
s.ɪ1.t.i0.w.aɪ2.d	s.ɪ1.ɾ.i0.w.aɪ2.d
h.j.u0.m.ɪ1.l.i0.eɪ2.t.ɪ0.d	h.j.u0.m.ɪ1.l.i0.eɪ2.ɾ.ɪ0.d
d.ɑ2.n.ɪ0.z.ɛ1.t.i0.z	d.ɑ2.n.ɪ0.z.ɛ1.ɾ.i0.z
d.ɛ1.t.ɚ0.d.ɪ0.ŋ	d.ɛ1.ɾ.ɚ0.d.ɪ0.ŋ
s.t.ɪ1.m.j.ʌ0.l.eɪ2.t.ɪ0.v	s.t.ɪ1.m.j.ʌ0.l.eɪ2.ɾ.ɪ0.v
ʌ0.m.æ1.l.g.ʌ0.m.eɪ2.t.ɪ0.ŋ	ʌ.m.æ1.l.g.ʌ0.m.eɪ2.ɾ.ɪ0.ŋ
f.ɛ1.t.ɪ0.ʃ.ɪ2.z.ʌ0.m	f.ɛ1.ɾ.ɪ0.ʃ.ɪ2.z.ʌ0.m
p.ɹ.æ1.t.ʌ0.l	p.ɹ.æ1.ɾ.ʌ0.l
b.ɑ1.t.ʌ0.l.n.ɛ2.k	b.ɑ1.ɾ.ʌ0.l.n.ɛ2.k
d.aɪ2.ʌ0.b.ɛ1.t.ɪ0.k.s	d.aɪ2.ʌ0.b.ɛ1.ɾ.ɪ0.k.s
h.ɛ2.t.ɚ0.oʊ0.s.ɛ1.k.ʃ.u2.ʌ0.l	h.ɛ2.ɾ.ɚ0.oʊ0.s.ɛ1.k.ʃ.u2.ʌ0.l
n.ɔ0.ɹ.b.ɚ1.t.oʊ2	n.ɔ0.ɹ.b.ɚ1.ɾ.2
s.t.ɹ.æ1.t.ɪ0.dʒ.ɪ0.s.t	s.t.ɹ.æ1.ɾ.ɪ0.dʒ.ɪ0.s.t
w.aɪ1.l.d.k.æ2.t.ɪ0.ŋ	w.aɪ1.l.d.k.æ2.ɾ.ɪ0.ŋ
b.aɪ0.l.æ1.t.ɚ0.ʌ0.l	b.aɪ0.l.æ1.ɾ.ɚ0.ʌ0.l
m.ɛ1.t.ʌ0.l.w.ɚ2.k.ɪ0.ŋ	m.ɛ1.ɾ.ʌ0.l.w.ɚ2.k.ɪ0.ŋ
h.aɪ2.p.ɚ0.k.ɹ.oʊ0.m.æ1.t.ɪ0.k	h.aɪ2.p.ɚ0.k.ɹ.oʊ0.m.æ1.ɾ.ɪ0.k
s.aɪ1.t.oʊ0.t.ɛ2.k	s.aɪ1.ɾ.oʊ0.t.ɛ2.k
ɛ1.ɹ.ʌ0.s.t.ɑ2.t.ʌ0.l.z	ɛ.ɹ.ʌ0.s.t.ɑ2.ɾ.ʌ0.l.z
p.ɹ.ɪ0.s.ɪ1.p.ɪ0.t.eɪ2.t.ɪ0.d	p.ɹ.ɪ0.s.ɪ1.p.ɪ0.t.eɪ2.ɾ.ɪ0.d
s.p.ɑ1.t.l.aɪ2.t.ɪ0.ŋ	s.p.ɑ1.t.l.aɪ2.ɾ.ɪ0.ŋ
s.ɛ1.n.s.d.æ1.t.ʌ0.z	s.ɛ1.n.s.d.æ1.ɾ.ʌ0.z
b.æ1.t.ɪ0.ŋ	b.æ1.ɾ.ɪ0.ŋ
b.ɚ1.t.ʌ0.l.z	b.ɚ1.ɾ.ʌ0.l.z
w.ɔ1.t.ɚ0.b.ɔ2.t.ʌ0.l.z	w.ɔ1.ɾ.ɚ0.b.ɔ2.ɾ.ʌ0.l.z
g.l.ɪ1.t.ɚ0.ɪ0.ŋ	g.l.ɪ1.ɾ.ɚ0.ɪ0.ŋ
l.ɔɪ1.t.ɚ0	l.ɔɪ1.ɾ.0
ʌ0.n.s.ɚ1.t.ʌ0.n	ʌ.n.s.ɚ1.ɾ.ʌ0.n
m.oʊ0.b.u1.t.u2.z	m.oʊ0.b.u1.ɾ.u2.z
dʒ.ɪ1.t.ɚ0.b.ʌ2.g	d.ɪ1.ɾ.ɚ0.b.ʌ2.g
s.n.u1.t.i0	s.n.u1.ɾ.0
s.p.l.ɪ1.t.ɪ0.ŋ	s.p.l.ɪ1.ɾ.ɪ0.ŋ
h.l.ʌ0.v.ɑ1.t.i0	h.l.ʌ0.v.ɑ1.ɾ.0
k.ɔ1.t.ɚ0.aɪ0.z.d	k.ɔ1.ɾ.ɚ0.aɪ0.z.d
k.ɹ.ɪ1.t.ɪ0.s.aɪ2.z.ɪ0.ŋ	k.ɹ.ɪ1.ɾ.ɪ0.s.aɪ2.z.ɪ0.ŋ
n.ɛ1.t.ɚ0	n.ɛ1.ɾ.0
p.ɛ1.ɹ.ʌ0.ʃ.u2.t.ɪ0.d	p.ɛ1.ɹ.ʌ0.ʃ.u2.ɾ.ɪ0.d
b.ɹ.oʊ1.t.ʌ0.n	b.ɹ.oʊ1.ɾ.ʌ0.n
m.ɪ1.t.ʌ0.g.eɪ2.t.ɪ0.d	m.ɪ1.ɾ.ʌ0.g.eɪ2.ɾ.ɪ0.d
k.i0.n.oʊ0.ʃ.i1.t.ʌ0	k.i0.n.oʊ0.ʃ.i1.ɾ.0
k.ɑ1.n.s.ʌ0.k.ɹ.eɪ2.t.ɪ0.d	k.ɑ1.n.s.ʌ0.k.ɹ.eɪ2.ɾ.ɪ0.d
d.i0.k.æ1.p.ʌ0.t.eɪ2.t.ɪ0.d	d.i0.k.æ1.p.ʌ0.t.eɪ2.ɾ.ɪ0.d
s.p.ʌ1.t.ɚ0.ɪ0.ŋ	s.p.ʌ1.ɾ.ɚ0.ɪ0.ŋ
h.aʊ1.t.ɛ0.n.z	h.aʊ1.ɾ.ɛ0.n.z
d.ɪ0.s.ɑ0.b.ɑ1.t.oʊ0	d.ɪ0.s.ɑ0.b.ɑ1.ɾ.0
p.ɛ1.t.i0.k.oʊ2.t.s	p.ɛ1.ɾ.i0.k.oʊ2.t.s
m.ɛ1.t.ʌ0.z	m.ɛ1.ɾ.ʌ0.z
s.ɚ1.t.ɪ0.k	s.ɚ1.ɾ.ɪ0.k
ɹ.i2.v.aɪ2.t.ʌ0.l.ʌ0.z.eɪ1.ʃ.ʌ0.n	ɹ.i2.v.aɪ2.ɾ.ʌ0.l.ʌ0.z.eɪ1.ʃ.ʌ0.n
ɔ1.t.ʌ0.g.ɹ.æ2.f.t	ɔ.ɾ.ʌ0.g.ɹ.æ2.f.t
b.ɹ.u1.t.ʌ0.s	b.ɹ.u1.ɾ.ʌ0.s
l.i0.b.ɛ0.ɹ.ɑ2.t.ɔ1.ɹ.i2	l.i0.b.ɛ0.ɹ.ɑ2.ɾ.ɔ1.ɹ.2
ɪ0.k.s.t.ɚ1.m.ʌ0.n.eɪ2.t.ɚ0	ɪ.k.s.t.ɚ1.m.ʌ0.n.eɪ2.ɾ.0
s.i1.t.ʌ0.n	s.i1.ɾ.ʌ0.n
d.eɪ2.z.ɪ0.d.ɚ0.ɑ1.t.ʌ0	d.eɪ2.z.ɪ0.d.ɚ0.ɑ1.ɾ.0
ʃ.i0.b.ɑ1.t.ʌ0	ʃ.i0.b.ɑ1.ɾ.0
m.i1.t.ɚ0.z	m.i1.ɾ.ɚ0.z
h.æ1.t.ɪ0.n.d.ɔ0.ɹ.f	h.æ1.ɾ.ɪ0.n.d.ɔ0.ɹ.f
p.ɹ.ɑ1.s.ɪ0.k.j.u2.t.ɚ0	p.ɹ.ɑ1.s.ɪ0.k.j.u2.ɾ.0
t.ɛ2.l.ʌ0.m.æ1.t.ɪ0.k.s	t.ɛ2.l.ʌ0.m.æ1.ɾ.ɪ0.k.s
k.u0.w.eɪ1.t.i0.z	k.u0.w.eɪ1.ɾ.i0.z
tʃ.i0.n.k.oʊ1.t.ʌ0	t.i0.n.k.oʊ1.ɾ.0
h.ɛ2.n.ɹ.i0.ɛ1.t.ʌ0	h.ɛ2.n.ɹ.i0.ɛ1.ɾ.0
k.ʌ0.m.j.u1.t.ɪ0.d	k.ʌ0.m.j.u1.ɾ.ɪ0.d
ʌ0.n.s.ɛ1.t.ʌ0.l	ʌ.n.s.ɛ1.ɾ.ʌ0.l
b.ɚ1.t.ʌ0.l	b.ɚ1.ɾ.ʌ0.l
m.ʌ1.t.ʌ0.n	m.ʌ1.ɾ.ʌ0.n
f.ʌ0.n.æ1.t.ɪ0.k.l.i0	f.ʌ0.n.æ1.ɾ.ɪ0.k.l.0
ʌ0.b.l.ɪ1.t.ɚ0.eɪ2.t.s	ʌ.b.l.ɪ1.ɾ.ɚ0.eɪ2.t.s
ɪ1.n.ʌ0.v.eɪ2.t.ɪ0.d	ɪ.n.ʌ0.v.eɪ2.ɾ.ɪ0.d
h.ɚ1.t.ʌ0.n.l.eɪ2.b.ʌ0.n.z	h.ɚ1.ɾ.ʌ0.n.l.eɪ2.b.ʌ0.n.z
ɹ.ʌ0.l.m.u1.t.oʊ0	ɹ.ʌ0.l.m.u1.ɾ.0
d.aɪ2.ʌ0.k.ɹ.ɪ1.t.ʌ0.k	d.aɪ2.ʌ0.k.ɹ.ɪ1.ɾ.ʌ0.k
d.ɪ0.v.oʊ1.t.ɪ0.d	d.ɪ0.v.oʊ1.ɾ.ɪ0.d
b.aɪ1.t.ɚ0	b.aɪ1.ɾ.0
ɔ0.θ.ɛ1.n.t.ʌ0.k.eɪ2.t.ɪ0.ŋ	ɔ.θ.ɛ1.n.t.ʌ0.k.eɪ2.ɾ.ɪ0.ŋ
l.aʊ1.t.ʌ0.n.b.ɚ0.g	l.aʊ1.ɾ.ʌ0.n.b.ɚ0.g
ɪ2.ɹ.ʌ0.f.j.u1.t.ʌ0.b.ʌ0.l	ɪ.ɹ.ʌ0.f.j.u1.ɾ.ʌ0.b.ʌ0.l
ʌ0.f.l.ʌ1.t.ɚ0	ʌ.f.l.ʌ1.ɾ.0
ɹ.i0.t.s.u1.t.i0	ɹ.i0.t.s.u1.ɾ.0
m.ɪ0.k.ʌ0.l.oʊ1.t.i0	m.ɪ0.k.ʌ0.l.oʊ1.ɾ.0
d.aʊ1.t.i0	d.aʊ1.ɾ.0
æ1.k.l.ʌ0.m.eɪ2.t.ɪ0.d	æ.k.l.ʌ0.m.eɪ2.ɾ.ɪ0.d
p.l.eɪ1.t.oʊ0	p.l.eɪ1.ɾ.0
b.i1.t.i0	b.i1.ɾ.0
t.ɹ.eɪ1.t.ɚ0	t.ɹ.eɪ1.ɾ.0
oʊ1.v.ɚ0.h.i2.t.ɪ0.d	o.v.ɚ0.h.i2.ɾ.ɪ0.d
s.p.ʌ1.t.ɚ0.d	s.p.ʌ1.ɾ.ɚ0.d
k.ɑ0.ɹ.ɛ1.t.ʌ0	k.ɑ0.ɹ.ɛ1.ɾ.0
h.w.ɛ1.t.ɪ0.ŋ	h.w.ɛ1.ɾ.ɪ0.ŋ
g.ɑ0.l.i0.oʊ1.t.oʊ0	g.ɑ0.l.i0.oʊ1.ɾ.0
s.æ1.t.ɚ0.f.i1.l.d	s.æ1.ɾ.ɚ0.f.i1.l.d
æ1.n.ʌ0.t.eɪ2.t.ɪ0.ŋ	æ.n.ʌ0.t.eɪ2.ɾ.ɪ0.ŋ
ɪ2.n.k.ɑ1.ɹ.s.ɚ0.eɪ2.t.ɪ0.ŋ	ɪ.n.k.ɑ1.ɹ.s.ɚ0.eɪ2.ɾ.ɪ0.ŋ
f.ɛ1.t.ɪ0.ʃ.ɪ0.s.t	f.ɛ1.ɾ.ɪ0.ʃ.ɪ0.s.t
h.aʊ1.t.ɚ0	h.aʊ1.ɾ.0
f.ɹ.ɔ1.s.t.b.ɪ2.t.ʌ0.n	f.ɹ.ɔ1.s.t.b.ɪ2.ɾ.ʌ0.n
ɔ2.t.ʌ0.m.oʊ1.t.ɪ0.v	ɔ.ɾ.ʌ0.m.oʊ1.ɾ.ɪ0.v
ɹ.u1.t.ɚ0.z	ɹ.u1.ɾ.ɚ0.z
m.ɛ1.ɹ.ʌ0.n.eɪ2.t.ɪ0.ŋ	m.ɛ1.ɹ.ʌ0.n.eɪ2.ɾ.ɪ0.ŋ
m.ɪ0.l.p.i1.t.ʌ0.s	m.ɪ0.l.p.i1.ɾ.ʌ0.s
k.æ2.t.ʌ0.g.ɔ1.ɹ.ɪ0.k.l.i0	k.æ2.ɾ.ʌ0.g.ɔ1.ɹ.ɪ0.k.l.0
ɹ.i2.ɪ0.n.v.ɪ1.g.ɚ0.eɪ2.t.ɪ0.ŋ	ɹ.i2.ɪ0.n.v.ɪ1.g.ɚ0.eɪ2.ɾ.ɪ0.ŋ
b.ɛ2.t.ʌ0.k.ɛ1.ɹ.ʌ0.n	b.ɛ2.ɾ.ʌ0.k.ɛ1.ɹ.ʌ0.n
ɪ1.n.s.t.ʌ0.g.eɪ2.t.ɪ0.ŋ	ɪ.n.s.t.ʌ0.g.eɪ2.ɾ.ɪ0.ŋ
m.i1.t.ɚ0.æ2.n.d.z	m.i1.ɾ.ɚ0.æ2.n.d.z
l.oʊ1.t.ʌ0.s.ɪ0.z	l.oʊ1.ɾ.ʌ0.s.ɪ0.z
m.oʊ1.t.ʌ0.l	m.oʊ1.ɾ.ʌ0.l
ʃ.aʊ1.t.ɪ0.ŋ	ʃ.aʊ1.ɾ.ɪ0.ŋ
v.ɛ1.n.t.ɪ0.l.eɪ2.t.ɚ0	v.ɛ1.n.t.ɪ0.l.eɪ2.ɾ.0
æ1.l.ʌ0.k.eɪ2.t.ɪ0.ŋ	æ.l.ʌ0.k.eɪ2.ɾ.ɪ0.ŋ
j.ɑ0.m.ɑ0.ʃ.i1.t.ʌ0	j.ɑ0.m.ɑ0.ʃ.i1.ɾ.0
d.ɪ1.k.t.eɪ2.t.ɪ0.d	d.ɪ1.k.t.eɪ2.ɾ.ɪ0.d
k.ʌ0.m.p.ɛ1.t.ʌ0.t.ɪ0.v	k.ʌ0.m.p.ɛ1.ɾ.ʌ0.t.ɪ0.v
ɹ.i0.t.ɹ.i1.t.ɪ0.d	ɹ.i0.t.ɹ.i1.ɾ.ɪ0.d
ɹ.u1.t.ʌ0.d	ɹ.u1.ɾ.ʌ0.d
b.æ1.t.ɚ0.ɪ0.ŋ	b.æ1.ɾ.ɚ0.ɪ0.ŋ
ʌ0.n.s.ɛ1.t.ʌ0.l.ɪ0.ŋ	ʌ.n.s.ɛ1.ɾ.ʌ0.l.ɪ0.ŋ
l.ɪ1.t.ɪ0.k.ʌ0.n	l.ɪ1.ɾ.ɪ0.k.ʌ0.n
l.ɪ1.k.w.ɪ0.d.eɪ2.t.ɚ0.z	l.ɪ1.k.w.ɪ0.d.eɪ2.ɾ.ɚ0.z
s.t.ɹ.ɛ1.t.oʊ2	s.t.ɹ.ɛ1.ɾ.2
t.ʌ0.m.eɪ1.t.oʊ2.z	t.ʌ0.m.eɪ1.ɾ.oʊ2.z
p.ɪ1.t.ɪ0.n.k.ɹ.i2.f	p.ɪ1.ɾ.ɪ0.n.k.ɹ.i2.f
l.ɑ1.t.oʊ2	l.ɑ1.ɾ.2
k.ʌ1.t.aʊ2.t.s	k.ʌ1.ɾ.aʊ2.t.s
ʃ.æ1.t.ʌ0.k	ʃ.æ1.ɾ.ʌ0.k
ɹ.i0.ɹ.aɪ1.t.ɪ0.ŋ	ɹ.i0.ɹ.aɪ1.ɾ.ɪ0.ŋ
j.i1.t.ɚ0	j.i1.ɾ.0
k.ʌ0.m.ɪ1.t.ʌ0.l	k.ʌ0.m.ɪ1.ɾ.ʌ0.l
n.i1.t.ʌ0	n.i1.ɾ.0
m.ɛ2.t.ʌ0.l.g.ɛ1.s.ʌ0.l.ʃ.æ2.f.t.s	m.ɛ2.ɾ.ʌ0.l.g.ɛ1.s.ʌ0.l.ʃ.æ2.f.t.s
ʌ0.n.f.l.æ1.t.ɚ0.ɪ0.ŋ	ʌ.n.f.l.æ1.ɾ.ɚ0.ɪ0.ŋ
p.ɹ.eɪ1.t.ɚ0	p.ɹ.eɪ1.ɾ.0
ɹ.ɪ0.b.ʌ1.t.ɪ0.d	ɹ.ɪ0.b.ʌ1.ɾ.ɪ0.d
s.ɚ1.t.ʌ0.f.aɪ2.ɪ0.ŋ	s.ɚ1.ɾ.ʌ0.f.aɪ2.ɪ0.ŋ
g.ɑ2.ɹ.tʃ.ɛ1.t.i0	g.ɑ2.ɹ.tʃ.ɛ1.ɾ.0
ɪ0.g.z.æ1.s.p.ɚ0.eɪ2.t.ɪ0.d	ɪ.g.z.æ1.s.p.ɚ0.eɪ2.ɾ.ɪ0.d
k.ʌ0.m.p.æ1.t.ɪ0.b.ʌ0.l.z	k.ʌ0.m.p.æ1.ɾ.ɪ0.b.ʌ0.l.z
tʃ.i1.t.ʌ0.z	t.i1.ɾ.ʌ0.z
k.u0.w.eɪ1.t.i0	k.u0.w.eɪ1.ɾ.0
z.ɛ1.t.ʌ0.l	z.ɛ1.ɾ.ʌ0.l
g.ɹ.eɪ1.t.ʌ0.s.t	g.ɹ.eɪ1.ɾ.ʌ0.s.t
v.ɪ2.d.ɛ1.t.ʌ0	v.ɪ2.d.ɛ1.ɾ.0
æ1.t.ʌ0.m	æ.ɾ.ʌ0.m
d.ɪ0.p.l.i1.t.ɪ0.d	d.ɪ0.p.l.i1.ɾ.ɪ0.d
ʌ0.f.ɪ1.l.i0.eɪ2.t.ɪ0.d.z	ʌ.f.ɪ1.l.i0.eɪ2.ɾ.ɪ0.d.z
p.oʊ1.t.ʌ0.n.t.eɪ2.t.s	p.oʊ1.ɾ.ʌ0.n.t.eɪ2.t.s
k.æ2.p.ɹ.i0.ɑ1.t.i0.z	k.æ2.p.ɹ.i0.ɑ1.ɾ.i0.z
k.ɛ1.t.ɪ0.l.h.ʌ0.t	k.ɛ1.ɾ.ɪ0.l.h.ʌ0.t
d.ɪ0.k.t.eɪ1.t.ɚ0.ʃ.ɪ2.p	d.ɪ0.k.t.eɪ1.ɾ.ɚ0.ʃ.ɪ2.p
l.oʊ1.k.eɪ2.t.ɚ0.z	l.oʊ1.k.eɪ2.ɾ.ɚ0.z
l.ɪ1.t.ʌ0.l.tʃ.aɪ2.l.d	l.ɪ1.ɾ.ʌ0.l.tʃ.aɪ2.l.d
θ.ɹ.ɑ1.t.ʌ0.l.z	θ.ɹ.ɑ1.ɾ.ʌ0.l.z
f.ɹ.ʌ1.s.t.ɹ.eɪ2.t.ɪ0.ŋ	f.ɹ.ʌ1.s.t.ɹ.eɪ2.ɾ.ɪ0.ŋ
ʃ.l.ʊ1.t.ɚ0	ʃ.l.ʊ1.ɾ.0
l.ɛ1.t.ʌ0.s	l.ɛ1.ɾ.ʌ0.s
s.t.ɹ.æ1.t.ʌ0.s.ɪ0.z	s.t.ɹ.æ1.ɾ.ʌ0.s.ɪ0.z
k.ʌ0.m.p.l.i1.t.ʌ0.d	k.ʌ0.m.p.l.i1.ɾ.ʌ0.d
n.ɑ1.n.f.eɪ1.t.ʌ0.l	n.ɑ1.n.f.eɪ1.ɾ.ʌ0.l
l.ɪ0.m.eɪ1.t.ɚ0	l.ɪ0.m.eɪ1.ɾ.0
d.ɛ1.p.ɹ.ʌ0.k.eɪ2.t.ɪ0.ŋ	d.ɛ1.p.ɹ.ʌ0.k.eɪ2.ɾ.ɪ0.ŋ
ɹ.æ1.t.ʌ0.t.æ1.t	ɹ.æ1.ɾ.ʌ0.t.æ1.t
p.ɹ.oʊ2.t.ɛ2.s.t.eɪ1.ʃ.ʌ0.n	p.ɹ.oʊ2.ɾ.ɛ2.s.t.eɪ1.ʃ.ʌ0.n
b.æ1.t.ʌ0.l.f.i2.l.d	b.æ1.ɾ.ʌ0.l.f.i2.l.d
v.ɚ0.i1.t.ʌ0.l	v.ɚ0.i1.ɾ.ʌ0.l
j.u2.n.i1.t.ʌ0	j.u2.n.i1.ɾ.0
s.w.ɛ1.t.ɚ0.z	s.w.ɛ1.ɾ.ɚ0.z
v.ɛ1.n.ɚ0.eɪ2.t.ɪ0.ŋ	v.ɛ1.n.ɚ0.eɪ2.ɾ.ɪ0.ŋ
s.p.ɹ.aʊ1.t.ʌ0.f.aɪ0.l.z	s.p.ɹ.aʊ1.ɾ.ʌ0.f.aɪ0.l.z
ʃ.oʊ1.t.aɪ2.m.z	ʃ.oʊ1.ɾ.aɪ2.m.z
p.ɛ1.t.ʌ0.s	p.ɛ1.ɾ.ʌ0.s
s.k.ɹ.ʌ1.t.ʌ0.n.z	s.k.ɹ.ʌ1.ɾ.ʌ0.n.z
ɔ2.t.oʊ0.m.oʊ0.b.i1.l.i0	ɔ.ɾ.oʊ0.m.oʊ0.b.i1.l.0
ʃ.ʌ1.t.ʌ0.l.z	ʃ.ʌ1.ɾ.ʌ0.l.z
l.aʊ1.t.ʌ0.n.b.ɑ0.k	l.aʊ1.ɾ.ʌ0.n.b.ɑ0.k
w.ɔ1.t.ɚ0.f.ɔ2.l	w.ɔ1.ɾ.ɚ0.f.ɔ2.l
g.ɹ.æ1.v.ʌ0.t.eɪ2.t.ɪ0.d	g.ɹ.æ1.v.ʌ0.t.eɪ2.ɾ.ɪ0.d
æ2.l.ʌ0.m.i1.t.oʊ0	æ.l.ʌ0.m.i1.ɾ.0
b.ɚ1.t.ʌ0.n	b.ɚ1.ɾ.ʌ0.n
d.eɪ1.t.ʌ0.m.ɛ2.t.ɹ.ɪ0.k.s	d.eɪ1.ɾ.ʌ0.m.ɛ2.t.ɹ.ɪ0.k.s
l.ɛ1.t.ɚ0.p.ɹ.ɛ2.s	l.ɛ1.ɾ.ɚ0.p.ɹ.ɛ2.s
m.ɔ0.ɹ.ɑ0.b.i1.t.oʊ0	m.ɔ0.ɹ.ɑ0.b.i1.ɾ.0
d.i1.t.ʊ0.ɹ.d	d.i1.ɾ.ʊ0.ɹ.d
m.æ2.θ.ʌ0.m.æ1.t.ɪ0.k.ʌ0.l	m.æ2.θ.ʌ0.m.æ1.ɾ.ɪ0.k.ʌ0.l
m.ʌ0.ʃ.ɛ1.t.i2	m.ʌ0.ʃ.ɛ1.ɾ.2
ɛ1.m.j.ʌ0.l.eɪ2.t.ɪ0.ŋ	ɛ.m.j.ʌ0.l.eɪ2.ɾ.ɪ0.ŋ
g.j.oʊ1.t.ʌ0.n	g.j.oʊ1.ɾ.ʌ0.n
d.ɛ1.z.ɪ0.g.n.eɪ2.t.ɪ0.ŋ	d.ɛ1.z.ɪ0.g.n.eɪ2.ɾ.ɪ0.ŋ
h.w.ʌ1.t.ɪ0.d	h.w.ʌ1.ɾ.ɪ0.d
k.ɑ2.w.ɑ1.t.eɪ2	k.ɑ2.w.ɑ1.ɾ.2
ɑ0.n.d.ɹ.i0.ɑ1.t.i0	ɑ.n.d.ɹ.i0.ɑ1.ɾ.0
m.ʌ0.k.p.i1.t.ɚ0.z	m.ʌ0.k.p.i1.ɾ.ɚ0.z
s.p.ɛ1.k.j.ʌ0.l.eɪ2.t.ɚ0	s.p.ɛ1.k.j.ʌ0.l.eɪ2.ɾ.0
b.æ1.k.d.eɪ2.t.ɪ0.d	b.æ1.k.d.eɪ2.ɾ.ɪ0.d
d.ɪ0.v.oʊ1.t.oʊ0	d.ɪ0.v.oʊ1.ɾ.0
m.ɚ0.k.eɪ1.t.ɚ0	m.ɚ0.k.eɪ1.ɾ.0
s.t.ɹ.eɪ1.t.ʌ0.n.ɪ0.ŋ	s.t.ɹ.eɪ1.ɾ.ʌ0.n.ɪ0.ŋ
dʒ.u2.ʌ0.n.i1.t.ʌ0	d.u2.ʌ0.n.i1.ɾ.0
ʃ.ɛ1.t.ɚ0	ʃ.ɛ1.ɾ.0
ɛ2.ɹ.ʌ0.b.æ1.t.ɪ0.k.s	ɛ.ɹ.ʌ0.b.æ1.ɾ.ɪ0.k.s
ɪ2.t.æ1.l.j.ʌ0.n	ɪ.ɾ.æ1.l.j.ʌ0.n
m.i1.t.ɚ0.ɔ2.n.d.z	m.i1.ɾ.ɚ0.ɔ2.n.d.z
l.aʊ1.t.ɚ0.b.ɑ0.k	l.aʊ1.ɾ.ɚ0.b.ɑ0.k
p.oʊ2.t.ɑ1.l.ʌ0	p.oʊ2.ɾ.ɑ1.l.0
n.ɔ1.z.i0.eɪ2.t.ʌ0.d	n.ɔ1.z.i0.eɪ2.ɾ.ʌ0.d
ɑ2.l.ɪ0.v.ɛ1.t.i0	ɑ.l.ɪ0.v.ɛ1.ɾ.0
v.ɚ1.t.ɪ0.k.l.i0	v.ɚ1.ɾ.ɪ0.k.l.0
v.aɪ1.t.ʌ0.l	v.aɪ1.ɾ.ʌ0.l
ð.æ1.t.ʌ0.v	ð.æ1.ɾ.ʌ0.v
h.aɪ1.t.ɛ2.k	h.aɪ1.ɾ.ɛ2.k
m.ʌ0.n.ɑ1.t.ʌ0.n.i0	m.ʌ0.n.ɑ1.ɾ.ʌ0.n.0
ʌ0.n.ɹ.æ1.t.ɪ0.f.aɪ2.d	ʌ.n.ɹ.æ1.ɾ.ɪ0.f.aɪ2.d
p.ɔ0.ɹ.ɛ1.t.ʌ0	p.ɔ0.ɹ.ɛ1.ɾ.0
b.ɪ0.l.eɪ1.t.ɪ0.d	b.ɪ0.l.eɪ1.ɾ.ɪ0.d
k.ʌ0.m.p.æ2.t.ʌ0.b.ɪ1.l.ʌ0.t.i2	k.ʌ0.m.p.æ2.ɾ.ʌ0.b.ɪ1.l.ʌ0.t.2
f.ɛ1.t.ɪ0.ŋ	f.ɛ1.ɾ.ɪ0.ŋ
n.ɛ2.t.ʌ0.n.j.ɑ1.h.u2.z	n.ɛ2.ɾ.ʌ0.n.j.ɑ1.h.u2.z
s.w.i1.t.ʌ0.n	s.w.i1.ɾ.ʌ0.n
tʃ.æ2.t.ɪ0.h.ɑ1.tʃ.i0	t.æ2.ɾ.ɪ0.h.ɑ1.tʃ.0
t.ʌ1.t.ʌ0.l	t.ʌ1.ɾ.ʌ0.l
d.eɪ2.t.ɑ1	d.eɪ2.ɾ.1
h.aʊ0.ɚ1.t.ʌ0.n	h.aʊ0.ɚ1.ɾ.ʌ0.n
p.ɹ.æ0.g.m.æ1.t.ɪ0.k.l.i0	p.ɹ.æ0.g.m.æ1.ɾ.ɪ0.k.l.0
b.u2.t.ɛ1.k.oʊ0	b.u2.ɾ.ɛ1.k.0
p.ɚ1.t.ɪ0.n.ɪ0.n.t.l.i0	p.ɚ1.ɾ.ɪ0.n.ɪ0.n.t.l.0
b.æ1.t.ɚ0.d	b.æ1.ɾ.ɚ0.d
